_id,start_time_sweden,start_time_utc,bidding_zone,price,price_unit
1232519,2026-06-24T12:30:00,2026-06-24T10:30:00,SE2,65.66,EUR-MWh
1232948,2026-06-24T12:15:00,2026-06-24T10:15:00,SE3,69.58,EUR-MWh
1232896,2026-06-24T12:15:00,2026-06-24T10:15:00,SE1,68.59,EUR-MWh
1233502,2026-06-24T12:15:00,2026-06-24T10:15:00,SE4,69.82,EUR-MWh
1233345,2026-06-24T12:15:00,2026-06-24T10:15:00,SE2,68.96,EUR-MWh
1233108,2026-06-24T12:00:00,2026-06-24T10:00:00,SE1,77.52,EUR-MWh
1233099,2026-06-24T12:00:00,2026-06-24T10:00:00,SE3,79.34,EUR-MWh
1232863,2026-06-24T12:00:00,2026-06-24T10:00:00,SE4,79.78,EUR-MWh
1233830,2026-06-24T12:00:00,2026-06-24T10:00:00,SE2,78.19,EUR-MWh
1233235,2026-06-24T11:45:00,2026-06-24T09:45:00,SE4,66.3,EUR-MWh
1233692,2026-06-24T11:45:00,2026-06-24T09:45:00,SE1,65.24,EUR-MWh
1232908,2026-06-24T11:45:00,2026-06-24T09:45:00,SE3,66.09,EUR-MWh
1233683,2026-06-24T11:45:00,2026-06-24T09:45:00,SE2,65.56,EUR-MWh
1233734,2026-06-24T11:30:00,2026-06-24T09:30:00,SE1,71.93,EUR-MWh
1233675,2026-06-24T11:30:00,2026-06-24T09:30:00,SE2,72.45,EUR-MWh
1232788,2026-06-24T11:30:00,2026-06-24T09:30:00,SE4,73.64,EUR-MWh
1233920,2026-06-24T11:30:00,2026-06-24T09:30:00,SE3,73.31,EUR-MWh
1233452,2026-06-24T11:15:00,2026-06-24T09:15:00,SE1,79.84,EUR-MWh
1233851,2026-06-24T11:15:00,2026-06-24T09:15:00,SE2,80.62,EUR-MWh
1233651,2026-06-24T11:15:00,2026-06-24T09:15:00,SE3,81.91,EUR-MWh
1233242,2026-06-24T11:15:00,2026-06-24T09:15:00,SE4,82.4,EUR-MWh
1233739,2026-06-24T11:00:00,2026-06-24T09:00:00,SE4,88.83,EUR-MWh
1233027,2026-06-24T11:00:00,2026-06-24T09:00:00,SE2,86.75,EUR-MWh
1233104,2026-06-24T11:00:00,2026-06-24T09:00:00,SE3,88.26,EUR-MWh
1233746,2026-06-24T11:00:00,2026-06-24T09:00:00,SE1,85.84,EUR-MWh
1233412,2026-06-24T10:45:00,2026-06-24T08:45:00,SE2,75.13,EUR-MWh
1232978,2026-06-24T10:45:00,2026-06-24T08:45:00,SE1,74.55,EUR-MWh
1233175,2026-06-24T10:45:00,2026-06-24T08:45:00,SE3,76.09,EUR-MWh
1232603,2026-06-24T10:45:00,2026-06-24T08:45:00,SE4,76.46,EUR-MWh
1233486,2026-06-24T10:30:00,2026-06-24T08:30:00,SE4,89.94,EUR-MWh
1232787,2026-06-24T10:30:00,2026-06-24T08:30:00,SE1,86.78,EUR-MWh
1233492,2026-06-24T10:30:00,2026-06-24T08:30:00,SE2,87.73,EUR-MWh
1233622,2026-06-24T10:30:00,2026-06-24T08:30:00,SE3,89.33,EUR-MWh
1232503,2026-06-24T10:15:00,2026-06-24T08:15:00,SE1,93.97,EUR-MWh
1232954,2026-06-24T10:15:00,2026-06-24T08:15:00,SE3,97.02,EUR-MWh
1233385,2026-06-24T10:15:00,2026-06-24T08:15:00,SE4,97.75,EUR-MWh
1233145,2026-06-24T10:15:00,2026-06-24T08:15:00,SE2,95.11,EUR-MWh
1232761,2026-06-24T10:00:00,2026-06-24T08:00:00,SE3,104.34,EUR-MWh
1232967,2026-06-24T10:00:00,2026-06-24T08:00:00,SE4,105.16,EUR-MWh
1232505,2026-06-24T10:00:00,2026-06-24T08:00:00,SE2,102.18,EUR-MWh
1232869,2026-06-24T10:00:00,2026-06-24T08:00:00,SE1,100.9,EUR-MWh
1233243,2026-06-24T09:45:00,2026-06-24T07:45:00,SE1,91.36,EUR-MWh
1232574,2026-06-24T09:45:00,2026-06-24T07:45:00,SE3,94.22,EUR-MWh
1233421,2026-06-24T09:45:00,2026-06-24T07:45:00,SE4,94.93,EUR-MWh
1233036,2026-06-24T09:45:00,2026-06-24T07:45:00,SE2,92.41,EUR-MWh
1232707,2026-06-24T09:30:00,2026-06-24T07:30:00,SE3,101.0,EUR-MWh
